Stock,Ticker,Close,Adj_Close,RSI,Vol_Spike,Action,1Y_Return_%,Rank
Titagarh Rail Systems Ltd.,TITAGARH.NS,786.75,786.75,53.09,0.68,EXIT,-2.62,99
Kfin Technologies Ltd.,KFINTECH.NS,1022.4,1022.4,53.12,1.77,EXIT,-5.63,99
CreditAccess Grameen Ltd.,CREDITACC.NS,1284.6,1284.6,53.12,0.1,EXIT,-3.03,99
Bharti Airtel Ltd.,BHARTIARTL.NS,2011.3,2011.3,53.3,1.29,HOLD,-4.41,99
UCO Bank,UCOBANK.NS,29.08,29.08,53.32,1.21,EXIT,-4.97,99
Niva Bupa Health Insurance Company Ltd.,NIVABUPA.NS,77.84,77.84,53.68,0.88,EXIT,4.12,99
Sonata Software Ltd.,SONATSOFTW.NS,318.85,318.85,53.72,0.81,EXIT,-8.93,99
Usha Martin Ltd.,USHAMART.NS,428.8,428.8,53.75,1.33,HOLD,0.6,99
BEML Ltd.,BEML.NS,1768.2,1768.2,53.77,0.93,EXIT,-1.38,99
Biocon Ltd.,BIOCON.NS,371.05,371.05,53.91,0.89,HOLD,-7.01,99
Jio Financial Services Ltd.,JIOFIN.NS,270.2,270.2,54.09,0.83,EXIT,-11.37,99
Endurance Technologies Ltd.,ENDURANCE.NS,2519.8,2519.8,54.18,0.77,EXIT,-5.3,99
IRCON International Ltd.,IRCON.NS,159.67,159.67,54.2,1.76,EXIT,1.14,99
Olectra Greentech Ltd.,OLECTRA.NS,1061.2,1061.2,54.25,0.63,EXIT,-14.2,99
Zydus Lifesciences Ltd.,ZYDUSLIFE.NS,887.3,887.3,54.3,3.09,EXIT,-5.88,99
Akzo Nobel India Ltd.,AKZOINDIA.NS,3022.3,3022.3,54.34,0.51,EXIT,-13.22,99
ITI Ltd.,ITI.NS,296.0,296.0,54.36,0.56,EXIT,-3.25,99
Inox Wind Ltd.,INOXWIND.NS,111.22,111.22,54.41,0.75,EXIT,-16.56,99
GAIL (India) Ltd.,GAIL.NS,164.55,164.55,54.58,1.06,EXIT,-5.97,99
Zen Technologies Ltd.,ZENTEC.NS,1331.3,1331.3,54.63,0.62,EXIT,-4.37,99
Adani Total Gas Ltd.,ATGL.NS,543.2,543.2,54.64,0.59,EXIT,-9.71,99
Godfrey Phillips India Ltd.,GODFRYPHLP.NS,2192.2,2192.2,54.76,0.33,EXIT,-21.53,99
Tube Investments of India Ltd.,TIINDIA.NS,2438.6,2438.6,54.85,1.95,EXIT,-12.71,99
Fertilisers and Chemicals Travancore Ltd.,FACT.NS,814.25,814.25,54.94,0.38,EXIT,-5.15,99
Finolex Industries Ltd.,FINPIPE.NS,178.99,178.99,54.97,0.9,EXIT,2.39,99
E.I.D. Parry (India) Ltd.,EIDPARRY.NS,932.25,932.25,55.03,1.24,EXIT,-10.55,99
Swan Corp Ltd.,SWANCORP.NS,416.35,416.35,55.12,0.54,EXIT,-7.62,99
Vishal Mega Mart Ltd.,VMM.NS,126.8,126.8,55.22,1.03,EXIT,-6.43,99
Alkyl Amines Chemicals Ltd.,ALKYLAMINE.NS,1585.7,1585.7,55.23,0.32,EXIT,-4.66,99
Suzlon Energy Ltd.,SUZLON.NS,47.69,47.69,55.41,0.66,EXIT,-10.73,99
SRF Ltd.,SRF.NS,2961.9,2961.9,55.44,0.47,EXIT,3.58,99
NBCC (India) Ltd.,NBCC.NS,101.44,101.44,55.82,0.59,EXIT,-11.99,99
GMR Airports Ltd.,GMRAIRPORT.NS,97.81,97.81,55.85,0.51,HOLD,-8.27,99
Divi's Laboratories Ltd.,DIVISLAB.NS,6175.5,6175.5,56.15,0.7,EXIT,-3.77,99
L&T Technology Services Ltd.,LTTS.NS,3903.1,3903.1,56.29,0.49,EXIT,-13.33,99
Exide Industries Ltd.,EXIDEIND.NS,338.8,338.8,56.29,0.71,EXIT,-10.48,99
Central Depository Services (India) Ltd.,CDSL.NS,1400.9,1400.9,56.62,1.25,EXIT,-12.01,99
Jindal Saw Ltd.,JINDALSAW.NS,194.55,194.55,56.89,0.27,EXIT,18.66,99
Tejas Networks Ltd.,TEJASNET.NS,351.55,351.55,56.9,0.3,EXIT,-32.65,99
Redington Ltd.,REDINGTON.NS,270.3,270.3,57.06,0.87,EXIT,-3.58,99
Bajaj Housing Finance Ltd.,BAJAJHFL.NS,91.71,91.71,57.1,0.79,EXIT,-5.47,99
Havells India Ltd.,HAVELLS.NS,1373.1,1373.1,57.11,0.41,EXIT,-3.47,99
UPL Ltd.,UPL.NS,746.0,746.0,57.11,0.57,HOLD,-0.1,99
NATCO Pharma Ltd.,NATCOPHARM.NS,846.95,846.95,57.11,1.01,EXIT,-9.18,99
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG.NS,1728.3,1728.3,57.11,1.25,EXIT,-7.93,99
Railtel Corporation Of India Ltd.,RAILTEL.NS,346.85,346.85,57.14,6.44,EXIT,3.18,99
Max Healthcare Institute Ltd.,MAXHEALTH.NS,1021.5,1021.5,57.39,1.41,EXIT,-8.59,99
KSB Ltd.,KSB.NS,733.15,733.15,57.51,0.68,EXIT,-2.6,99
Angel One Ltd.,ANGELONE.NS,2783.0,2783.0,57.55,0.76,HOLD,-1.11,99
Indian Overseas Bank,IOB.NS,35.59,35.59,57.55,0.61,EXIT,-7.61,99
Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS,2439.1,2439.1,57.58,0.84,EXIT,-8.0,99
Kalpataru Projects International Ltd.,KPIL.NS,1138.1,1138.1,57.6,1.85,EXIT,-4.32,99
TBO Tek Ltd.,TBOTEK.NS,1576.6,1576.6,57.63,0.74,HOLD,-7.14,99
ICICI Bank Ltd.,ICICIBANK.NS,1406.5,1406.5,57.66,1.06,HOLD,2.44,99
Central Bank of India,CENTRALBK.NS,37.96,37.96,57.71,0.66,HOLD,-0.58,99
Aditya Birla Real Estate Ltd.,ABREL.NS,1462.3,1462.3,57.74,0.75,EXIT,-16.33,99
Granules India Ltd.,GRANULES.NS,581.0,581.0,57.83,1.04,HOLD,1.89,99
Jindal Stainless Ltd.,JSL.NS,787.6,787.6,57.97,0.27,HOLD,3.53,99
RITES Ltd.,RITES.NS,228.34,228.34,58.13,0.84,EXIT,-0.77,99
InterGlobe Aviation Ltd.,INDIGO.NS,4960.4,4960.4,58.24,0.82,EXIT,-12.94,99
Oberoi Realty Ltd.,OBEROIRLTY.NS,1568.9,1568.9,58.25,0.29,EXIT,-3.9,99
Brainbees Solutions Ltd.,FIRSTCRY.NS,283.45,283.45,58.26,2.75,EXIT,-5.47,99
Aditya Birla Fashion and Retail Ltd.,ABFRL.NS,72.99,72.99,58.29,0.27,EXIT,-5.31,99
Chalet Hotels Ltd.,CHALET.NS,882.35,882.35,58.29,0.83,EXIT,0.27,99
Carborundum Universal Ltd.,CARBORUNIV.NS,826.35,826.35,58.36,0.25,EXIT,-6.75,99
Triveni Turbine Ltd.,TRITURBINE.NS,499.35,499.35,58.57,1.61,EXIT,-4.79,99
Bajaj Finance Ltd.,BAJFINANCE.NS,965.6,965.6,58.58,0.73,HOLD,-5.84,99
Krishna Institute of Medical Sciences Ltd.,KIMS.NS,649.85,649.85,58.63,2.47,EXIT,-7.24,99
Solar Industries India Ltd.,SOLARINDS.NS,13423.0,13423.0,58.7,0.44,EXIT,0.87,99
Container Corporation of India Ltd.,CONCOR.NS,513.6,513.6,58.87,1.19,EXIT,2.03,99
Aster DM Healthcare Ltd.,ASTERDM.NS,576.35,576.35,58.89,0.57,EXIT,-13.32,99
Bharti Hexacom Ltd.,BHARTIHEXA.NS,1684.0,1684.0,59.06,0.93,EXIT,-2.68,99
RHI MAGNESITA INDIA LTD.,RHIM.NS,469.0,469.0,59.09,1.36,HOLD,0.7,99
Wockhardt Ltd.,WOCKPHARMA.NS,1429.1,1429.1,59.16,4.26,EXIT,-4.4,99
ITC Hotels Ltd.,ITCHOTELS.NS,187.35,187.35,59.19,0.9,EXIT,-9.78,99
Tata Teleservices (Maharashtra) Ltd.,TTML.NS,46.41,46.41,59.22,1.86,EXIT,-10.46,99
Global Health Ltd.,MEDANTA.NS,1139.3,1139.3,59.22,0.74,EXIT,-6.97,99
Tata Investment Corporation Ltd.,TATAINVEST.NS,665.55,665.55,59.31,2.3,EXIT,-9.15,99
Cochin Shipyard Ltd.,COCHINSHIP.NS,1528.6,1528.6,59.34,0.77,EXIT,-6.79,99
Saregama India Ltd,SAREGAMA.NS,351.0,351.0,59.42,0.64,EXIT,-8.3,99
Rashtriya Chemicals & Fertilizers Ltd.,RCF.NS,136.8,136.8,59.56,0.64,EXIT,-0.93,99
Piramal Pharma Ltd.,PPLPHARMA.NS,163.42,163.42,59.72,1.77,EXIT,-11.79,99
Computer Age Management Services Ltd.,CAMS.NS,742.6,742.6,59.8,0.64,EXIT,-3.58,99
Godrej Industries Ltd.,GODREJIND.NS,1039.1,1039.1,59.84,0.75,EXIT,-0.57,99
ICICI Lombard General Insurance Company Ltd.,ICICIGI.NS,1909.6,1909.6,59.85,0.29,EXIT,-3.88,99
Hero MotoCorp Ltd.,HEROMOTOCO.NS,5753.5,5753.5,59.97,1.76,HOLD,-8.24,99
Indian Railway Catering And Tourism Corporation Ltd.,IRCTC.NS,636.2,636.2,59.98,1.49,EXIT,-6.43,99
PCBL Chemical Ltd.,PCBL.NS,293.85,293.85,60.01,0.65,EXIT,-7.27,99
JM Financial Ltd.,JMFINANCIL.NS,140.43,140.43,60.09,5.21,EXIT,-8.29,99
EIH Ltd.,EIHOTEL.NS,346.45,346.45,60.32,0.17,EXIT,-8.32,99
Bata India Ltd.,BATAINDIA.NS,918.55,918.55,60.33,10.85,EXIT,-4.78,99
CESC Ltd.,CESC.NS,154.65,154.65,60.37,0.26,EXIT,-10.6,99
Lloyds Metals And Energy Ltd.,LLOYDSME.NS,1249.7,1249.7,60.52,0.5,EXIT,3.21,99
Garden Reach Shipbuilders & Engineers Ltd.,GRSE.NS,2515.4,2515.4,60.69,0.99,EXIT,-3.57,99
Pidilite Industries Ltd.,PIDILITIND.NS,1478.9,1478.9,60.79,0.69,EXIT,0.68,99
Nava Ltd.,NAVA.NS,571.85,571.85,60.97,0.91,EXIT,10.2,99
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT.NS,453.75,453.75,61.02,1.6,EXIT,3.37,99
Adani Enterprises Ltd.,ADANIENT.NS,2228.4,2228.4,61.15,0.85,EXIT,-0.5,99
Godrej Properties Ltd.,GODREJPROP.NS,1820.8,1820.8,61.32,0.76,EXIT,-13.2,99
Bajaj Finserv Ltd.,BAJAJFINSV.NS,2027.9,2027.9,61.38,0.6,HOLD,-1.84,99
Gujarat Fluorochemicals Ltd.,FLUOROCHEM.NS,3469.0,3469.0,61.44,0.52,EXIT,1.36,99
Sapphire Foods India Ltd.,SAPPHIRE.NS,226.95,226.95,61.55,1.53,EXIT,-7.97,99
Adani Green Energy Ltd.,ADANIGREEN.NS,978.3,978.3,61.73,0.46,EXIT,-4.33,99
Aegis Logistics Ltd.,AEGISLOG.NS,720.35,720.35,61.82,0.37,EXIT,-6.94,99
Pfizer Ltd.,PFIZER.NS,4960.8,4960.8,61.9,16.51,EXIT,-0.68,99
Himadri Speciality Chemical Ltd.,HSCL.NS,460.7,460.7,61.95,0.8,EXIT,6.24,99
Amara Raja Energy & Mobility Ltd.,ARE&M.NS,907.35,907.35,62.01,1.02,EXIT,-4.55,99
Tata Power Co. Ltd.,TATAPOWER.NS,369.95,369.95,62.2,0.54,EXIT,-4.76,99
Swiggy Ltd.,SWIGGY.NS,355.75,355.75,62.29,2.14,EXIT,-10.93,99
Signatureglobal (India) Ltd.,SIGNATURE.NS,950.4,950.4,62.47,0.45,EXIT,-15.62,99
Jammu & Kashmir Bank Ltd.,J&KBANK.NS,105.3,105.3,62.61,0.47,HOLD,-1.74,99
Castrol India Ltd.,CASTROLIND.NS,187.83,187.83,62.65,0.7,EXIT,-1.92,99
International Gemmological Institute (India) Ltd.,IGIL.NS,330.35,330.35,62.78,0.78,EXIT,0.84,99
Patanjali Foods Ltd.,PATANJALI.NS,521.55,521.55,62.79,0.88,EXIT,-7.42,99
Eris Lifesciences Ltd.,ERIS.NS,1465.4,1465.4,62.89,0.98,EXIT,-6.64,99
JBM Auto Ltd.,JBMA.NS,603.65,603.65,62.92,0.52,EXIT,-1.39,99
Trident Ltd.,TRIDENT.NS,27.49,27.49,62.98,1.46,EXIT,-1.5,99
Mahanagar Gas Ltd.,MGL.NS,1173.9,1173.9,62.98,1.01,EXIT,-0.78,99
Devyani International Ltd.,DEVYANI.NS,136.75,136.75,62.99,0.68,EXIT,2.7,99
Anant Raj Ltd.,ANANTRAJ.NS,565.55,565.55,63.05,1.26,HOLD,1.77,99
Home First Finance Company India Ltd.,HOMEFIRST.NS,1178.4,1178.4,63.13,0.17,EXIT,7.91,99
Hindustan Unilever Ltd.,HINDUNILVR.NS,2453.6,2453.6,63.54,0.57,HOLD,-0.98,99
Colgate Palmolive (India) Ltd.,COLPAL.NS,2183.0,2183.0,63.67,0.87,EXIT,1.15,99
Zee Entertainment Enterprises Ltd.,ZEEL.NS,93.65,93.65,63.86,0.94,EXIT,-4.29,99
Eternal Ltd.,ETERNAL.NS,303.8,303.8,64.24,1.54,HOLD,1.08,99
Vijaya Diagnostic Centre Ltd.,VIJAYA.NS,1021.8,1021.8,64.26,0.7,HOLD,1.08,99
Asahi India Glass Ltd.,ASAHIINDIA.NS,977.9,977.9,64.45,0.42,HOLD,-8.3,99
Deepak Nitrite Ltd.,DEEPAKNTR.NS,1709.7,1709.7,64.45,1.01,EXIT,12.14,99
Indiamart Intermesh Ltd.,INDIAMART.NS,2250.9,2250.9,64.49,0.64,EXIT,-3.23,99
Maharashtra Scooters Ltd.,MAHSCOOTER.NS,13882.0,13882.0,64.76,0.36,EXIT,-2.43,99
BASF India Ltd.,BASF.NS,3855.8,3855.8,64.78,1.32,EXIT,-6.16,99
Cera Sanitaryware Ltd,CERA.NS,5287.4,5287.4,64.82,0.66,EXIT,-2.26,99
UNO Minda Ltd.,UNOMINDA.NS,1231.2,1231.2,64.88,0.93,HOLD,-4.88,99
PG Electroplast Ltd.,PGEL.NS,601.8,601.8,64.88,1.21,EXIT,2.49,99
Page Industries Ltd.,PAGEIND.NS,34600.0,34600.0,65.09,0.48,EXIT,-7.99,99
Dixon Technologies (India) Ltd.,DIXON.NS,11609.0,11609.0,65.26,0.66,EXIT,-19.9,99
ACME Solar Holdings Ltd.,ACMESOLAR.NS,236.85,236.85,65.28,1.54,EXIT,6.65,99
Gravita India Ltd.,GRAVITA.NS,1701.0,1701.0,65.41,2.16,EXIT,-4.27,99
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,1256.0,1256.0,65.52,0.7,HOLD,-1.51,99
DCM Shriram Ltd.,DCMSHRIRAM.NS,1159.2,1159.2,65.71,0.67,EXIT,-5.03,99
Welspun Corp Ltd.,WELCORP.NS,834.15,834.15,66.29,0.33,EXIT,-1.35,99
Timken India Ltd.,TIMKEN.NS,3231.3,3231.3,66.48,0.89,HOLD,2.05,99
Alok Industries Ltd.,ALOKINDS.NS,16.14,16.14,66.67,0.58,EXIT,-3.12,99
Kirloskar Brothers Ltd.,KIRLOSBROS.NS,1619.9,1619.9,66.67,0.31,EXIT,-2.42,99
Transformers And Rectifiers (India) Ltd.,TARIL.NS,281.98,281.98,66.82,1.47,EXIT,8.68,99
Bombay Burmah Trading Corporation Ltd.,BBTC.NS,1806.4,1806.4,66.89,0.92,EXIT,-0.29,99
Sun TV Network Ltd.,SUNTV.NS,614.35,614.35,66.92,8.67,HOLD,9.16,99
Premier Energies Ltd.,PREMIERENE.NS,823.85,823.85,66.93,0.56,EXIT,-14.68,99
V-Guard Industries Ltd.,VGUARD.NS,338.45,338.45,66.97,0.99,EXIT,-1.76,99
K.P.R. Mill Ltd.,KPRMILL.NS,950.75,950.75,67.14,1.1,EXIT,-7.42,99
Kaynes Technology India Ltd.,KAYNES.NS,3957.6,3957.6,67.3,1.44,EXIT,-26.83,99
Aditya Birla Sun Life AMC Ltd.,ABSLAMC.NS,838.55,838.55,67.55,1.3,HOLD,15.28,99
Siemens Ltd.,SIEMENS.NS,3111.5,3111.5,67.86,0.64,EXIT,-7.42,99
INOX India Ltd.,INOXINDIA.NS,1168.1,1168.1,68.06,0.57,HOLD,1.41,99
Praj Industries Ltd.,PRAJIND.NS,342.05,342.05,68.18,15.49,EXIT,7.8,99
HBL Engineering Ltd.,HBLENGINE.NS,780.3,780.3,68.4,0.36,HOLD,-7.82,99
Alembic Pharmaceuticals Ltd.,APLLTD.NS,801.9,801.9,68.42,0.43,EXIT,-10.92,99
Lodha Developers Ltd.,LODHA.NS,1095.05,1095.05,68.58,0.49,EXIT,-2.21,99
PVR INOX Ltd.,PVRINOX.NS,1076.05,1076.05,68.78,1.06,HOLD,-2.64,99
Astral Ltd.,ASTRAL.NS,1532.2,1532.2,68.82,1.99,HOLD,7.92,99
NCC Ltd.,NCC.NS,157.76,157.76,68.98,1.21,EXIT,-8.42,99
Torrent Power Ltd.,TORNTPOWER.NS,1483.0,1483.0,69.0,3.01,HOLD,12.92,99
Trent Ltd.,TRENT.NS,4184.4,4184.4,69.16,0.6,EXIT,-1.0,99
Gujarat State Petronet Ltd.,GSPL.NS,313.35,313.35,69.27,0.54,HOLD,4.99,99
Reliance Industries Ltd.,RELIANCE.NS,1458.5,1458.5,69.3,0.76,HOLD,-5.68,99
Dr. Lal Path Labs Ltd.,LALPATHLAB.NS,1455.8,1455.8,69.87,0.88,EXIT,-4.35,99
IFCI Ltd.,IFCI.NS,64.74,64.74,69.98,0.98,HOLD,26.97,99
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP.NS,7219.0,7219.0,70.07,0.67,EXIT,-0.32,99
Maharashtra Seamless Ltd.,MAHSEAMLES.NS,547.15,547.15,70.17,0.91,EXIT,-4.49,99
Vardhman Textiles Ltd.,VTL.NS,488.1,488.1,70.47,0.84,HOLD,13.0,99
Honasa Consumer Ltd.,HONASA.NS,296.6,296.6,70.61,1.59,HOLD,3.8,99
DLF Ltd.,DLF.NS,671.8,671.8,70.77,0.6,EXIT,-5.67,99
Data Patterns (India) Ltd.,DATAPATTNS.NS,2840.5,2840.5,71.09,0.8,HOLD,-1.89,99
Linde India Ltd.,LINDEINDIA.NS,6533.0,6533.0,71.13,9.7,HOLD,12.77,99
Shyam Metalics and Energy Ltd.,SHYAMMETL.NS,902.8,902.8,71.38,1.65,HOLD,11.65,99
Sun Pharmaceutical Industries Ltd.,SUNPHARMA.NS,1707.8,1707.8,71.54,0.58,HOLD,-5.1,99
HDFC Asset Management Company Ltd.,HDFCAMC.NS,2816.8,2816.8,71.57,0.69,HOLD,8.38,99
Campus Activewear Ltd.,CAMPUS.NS,282.5,282.5,71.71,3.16,HOLD,2.63,99
Crompton Greaves Consumer Electricals Ltd.,CROMPTON.NS,261.66,261.66,71.72,1.5,EXIT,0.29,99
Life Insurance Corporation of India,LICI.NS,891.7,891.7,71.78,0.64,HOLD,0.88,99
IRB Infrastructure Developers Ltd.,IRB.NS,44.34,44.34,71.83,1.02,EXIT,3.62,99
Gillette India Ltd.,GILLETTE.NS,8800.5,8800.5,72.14,0.54,EXIT,5.04,99
Valor Estate Ltd.,DBREALTY.NS,127.78,127.78,72.23,1.21,EXIT,0.57,99
Sobha Ltd.,SOBHA.NS,1533.7,1533.7,72.76,0.49,HOLD,-1.09,99
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG.NS,11081.0,11081.0,72.79,0.5,EXIT,0.29,99
Gujarat Gas Ltd.,GUJGASLTD.NS,426.2,426.2,72.89,0.61,EXIT,5.69,99
CG Power and Industrial Solutions Ltd.,CGPOWER.NS,681.55,681.55,73.39,0.65,EXIT,3.31,99
Avenue Supermarts Ltd.,DMART.NS,4002.2,4002.2,73.49,0.93,EXIT,1.02,99
General Insurance Corporation of India,GICRE.NS,398.35,398.35,73.59,2.63,HOLD,2.73,99
United Spirits Ltd.,UNITDSPR.NS,1409.9,1409.9,73.62,0.34,HOLD,-2.15,99
HFCL Ltd.,HFCL.NS,72.3,72.3,73.66,0.65,EXIT,2.23,99
Balkrishna Industries Ltd.,BALKRISIND.NS,2716.3,2716.3,73.71,0.76,HOLD,11.07,99
Jubilant Foodworks Ltd.,JUBLFOOD.NS,554.45,554.45,73.96,0.98,EXIT,-8.12,99
LT Foods Ltd.,LTFOODS.NS,413.4,413.4,74.12,1.27,EXIT,-0.48,99
The New India Assurance Company Ltd.,NIACL.NS,159.02,159.02,74.2,5.05,EXIT,-5.11,99
Sarda Energy and Minerals Ltd.,SARDAEN.NS,510.75,510.75,74.43,1.15,HOLD,3.68,99
Triveni Engineering & Industries Ltd.,TRIVENI.NS,393.75,393.75,74.51,1.47,HOLD,12.39,99
Blue Dart Express Ltd.,BLUEDART.NS,5840.0,5840.0,74.77,0.41,EXIT,3.27,99
Schaeffler India Ltd.,SCHAEFFLER.NS,3961.4,3961.4,74.79,0.71,HOLD,1.88,99
Ventive Hospitality Ltd.,VENTIVE.NS,774.05,774.05,75.22,0.89,HOLD,6.54,99
Bayer Cropscience Ltd.,BAYERCROP.NS,4696.4,4696.4,75.54,2.47,EXIT,1.96,99
Elecon Engineering Co. Ltd.,ELECON.NS,469.0,469.0,75.56,1.25,EXIT,-3.86,99
Indian Hotels Co. Ltd.,INDHOTEL.NS,702.55,702.55,75.71,0.45,EXIT,-5.38,99
Supreme Industries Ltd.,SUPREMEIND.NS,3690.7,3690.7,75.74,1.48,EXIT,10.76,99
Whirlpool of India Ltd.,WHIRLPOOL.NS,883.4,883.4,75.77,0.82,EXIT,-12.53,99
Elgi Equipments Ltd.,ELGIEQUIP.NS,495.2,495.2,75.9,0.53,HOLD,-2.12,99
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO.NS,2622.9,2622.9,75.93,4.26,EXIT,4.1,99
Delhivery Ltd.,DELHIVERY.NS,435.95,435.95,75.97,2.09,HOLD,6.56,99
Godrej Agrovet Ltd.,GODREJAGRO.NS,595.35,595.35,76.18,1.11,EXIT,-0.27,99
Finolex Cables Ltd.,FINCABLES.NS,826.9,826.9,76.5,5.62,EXIT,11.02,99
Gland Pharma Ltd.,GLAND.NS,1885.5,1885.5,76.54,0.89,HOLD,6.76,99
Power Finance Corporation Ltd.,PFC.NS,413.25,413.25,77.09,0.88,HOLD,14.7,99
Balrampur Chini Mills Ltd.,BALRAMCHIN.NS,467.0,467.0,77.47,6.12,EXIT,3.75,99
Ramkrishna Forgings Ltd.,RKFORGE.NS,567.8,567.8,77.55,0.84,EXIT,8.68,99
United Breweries Ltd.,UBL.NS,1619.7,1619.7,77.73,1.11,EXIT,-5.89,99
Prestige Estates Projects Ltd.,PRESTIGE.NS,1591.7,1591.7,77.79,0.31,EXIT,-3.68,99
Amber Enterprises India Ltd.,AMBER.NS,7510.5,7510.5,77.8,4.14,HOLD,6.66,99
Techno Electric & Engineering Company Ltd.,TECHNOE.NS,1117.55,1117.55,78.44,1.23,EXIT,-3.82,99
Action Construction Equipment Ltd.,ACE.NS,922.05,922.05,78.59,0.55,EXIT,-6.0,99
Atul Ltd.,ATUL.NS,6644.0,6644.0,79.13,1.12,HOLD,14.88,99
UltraTech Cement Ltd.,ULTRACEMCO.NS,13023.0,13023.0,79.28,0.56,HOLD,11.63,99
Petronet LNG Ltd.,PETRONET.NS,303.7,303.7,79.45,0.95,HOLD,12.03,99
Bandhan Bank Ltd.,BANDHANBNK.NS,166.69,166.69,79.91,1.84,HOLD,11.29,99
Power Grid Corporation of India Ltd.,POWERGRID.NS,294.35,294.35,81.19,1.17,HOLD,10.06,99
AstraZenca Pharma India Ltd.,ASTRAZEN.NS,8960.5,8960.5,81.9,1.45,HOLD,-2.01,99
Schneider Electric Infrastructure Ltd.,SCHNEIDER.NS,784.85,784.85,82.22,0.52,HOLD,4.41,99
Waaree Energies Ltd.,WAAREEENER.NS,3163.8,3163.8,83.29,0.51,HOLD,0.31,99
Aarti Industries Ltd.,AARTIIND.NS,467.8,467.8,85.76,0.83,HOLD,24.05,99
ABB India Ltd.,ABB.NS,5870.0,5870.0,88.7,0.41,HOLD,13.25,99
Akums Drugs and Pharmaceuticals Ltd.,AKUMS.NS,468.75,468.75,90.15,1.31,EXIT,11.38,99
